nodeIdOrg,nodeIdDest,distance,highway,oneway,bridge,width
512,513,16.096635,residential,,,
512,24,30.459801,residential,,,
514,515,23.449578,unclassified,,,
515,516,24.908500,unclassified,,,
516,517,44.064172,unclassified,,,
518,474,13.864554,unclassified,,,
519,520,37.764475,unclassified,,,
520,521,6.768166,unclassified,,,
521,522,21.337732,unclassified,,,
522,523,17.399232,unclassified,,,
523,524,16.435482,unclassified,,,
524,525,19.726944,unclassified,,,
525,526,24.748816,unclassified,,,
526,527,21.828771,unclassified,,,
527,528,28.658727,unclassified,,,
528,514,7.300600,unclassified,,,
514,529,21.623820,unclassified,,,
529,530,9.984830,unclassified,,,
531,375,43.658053,unclassified,,,
515,532,31.072044,residential,,,
175,376,50.102927,residential,,,
523,533,71.487335,unclassified,,,
533,534,14.778654,unclassified,,,
534,535,36.984828,unclassified,,,
535,536,32.035266,unclassified,,,
457,429,67.637913,unclassified,,,
429,531,48.140191,unclassified,,,
531,537,32.881721,unclassified,,,
537,538,8.279068,unclassified,,,
539,540,44.462781,unclassified,,,
540,541,65.727083,unclassified,,,
542,516,30.312694,unclassified,,,
516,543,58.574827,unclassified,,,
543,521,49.039699,unclassified,,,
467,540,36.132776,unclassified,,,
540,544,30.323846,unclassified,,,
544,545,49.209119,unclassified,,,
545,438,10.440830,unclassified,,,
438,546,49.515593,unclassified,,,
546,536,9.011071,unclassified,,,
547,548,38.831663,unclassified,,,
548,549,25.171302,unclassified,,,
550,551,15.514393,residential,,,
551,552,13.529557,residential,,,
552,553,16.063462,residential,,,
553,554,29.461703,residential,,,
554,555,13.083560,residential,,,
555,556,14.005171,residential,,,
556,557,5.519731,residential,,,
557,528,46.583920,residential,,,
526,543,57.196556,residential,,,
543,558,43.710635,residential,,,
546,559,15.811348,unclassified,,,
559,560,17.418166,unclassified,,,
560,561,30.335266,unclassified,,,
561,562,12.115166,unclassified,,,
562,563,4.563125,unclassified,,,
563,564,13.348075,unclassified,,,
564,550,12.868768,unclassified,,,
550,565,5.548309,unclassified,,,
520,548,58.999094,residential,,,
566,567,6.296311,residential,,,
529,568,35.910586,residential,,,
568,567,4.452953,residential,,,
567,569,24.953411,residential,,,
522,549,58.641706,unclassified,,,
570,571,97.588650,unclassified,,,
572,475,72.074784,unclassified,,,
475,573,37.594899,unclassified,,,
573,574,13.371852,unclassified,,,
574,468,34.565157,unclassified,,,
468,539,34.581656,unclassified,,,
539,575,19.217163,unclassified,,,
575,576,48.651774,unclassified,,,
577,578,8.258150,unclassified,-1,,
578,579,4.726659,unclassified,-1,,
579,580,6.817716,unclassified,-1,,
580,581,5.770863,unclassified,-1,,
581,582,6.215577,unclassified,-1,,
582,583,6.007225,unclassified,-1,,
583,584,1.077467,unclassified,-1,,
584,585,74.973933,unclassified,-1,,
585,586,21.106716,unclassified,-1,,
586,587,7.528384,unclassified,-1,,
587,588,19.318298,unclassified,-1,,
588,589,5.016447,unclassified,-1,,
589,590,33.702075,unclassified,-1,,
590,477,11.878282,unclassified,-1,,
591,544,76.758290,unclassified,,,
544,575,43.202524,unclassified,,,
575,592,52.914724,unclassified,,,
592,593,12.346361,unclassified,,,
374,174,51.669436,residential,,,
594,595,49.372124,unclassified,,,
595,574,41.102681,unclassified,,,
574,596,32.342987,unclassified,,,
596,597,38.095633,unclassified,,,
598,599,37.759639,unclassified,,,
599,600,47.505431,unclassified,,,
600,601,41.856436,unclassified,,,
601,602,6.608866,unclassified,,,
603,401,73.885653,residential,,,
414,604,20.554958,residential,,,
604,357,16.170945,residential,,,
387,598,20.115976,unclassified,,,
598,605,30.456779,unclassified,,,
605,606,8.810555,unclassified,,,
600,385,41.033586,residential,,,
385,603,26.829341,residential,,,
603,353,14.599793,residential,,,
607,599,37.918017,residential,,,
599,386,31.206527,residential,,,
358,388,40.127870,residential,,,
388,608,45.019855,residential,,,
158,609,20.535247,residential,,,
609,610,31.371253,residential,,,
610,611,16.138332,residential,,,
611,612,12.870930,residential,,,
612,613,20.778896,residential,,,
613,614,26.169672,residential,,,
57,615,30.786952,unclassified,,,
615,616,9.913100,unclassified,,,
93,617,24.227295,residential,,,
617,618,35.316461,residential,,,
619,620,41.686518,unclassified,,,
620,621,33.332233,unclassified,,,
621,622,10.903973,unclassified,,,
622,623,17.195735,unclassified,,,
623,624,25.112112,unclassified,,,
624,625,27.068732,unclassified,,,
625,626,20.329037,unclassified,,,
626,627,43.723787,unclassified,,,
627,628,34.884314,unclassified,,,
629,630,8.970645,residential,,,
630,631,7.951005,residential,,,
631,632,6.686267,residential,,,
632,633,41.637607,residential,,,
633,634,14.632175,residential,,,
634,635,126.634026,residential,,,
635,636,44.752541,residential,,,
637,638,33.714280,residential,,,
638,639,33.247798,residential,,,
640,641,30.682663,residential,,,
641,642,30.733354,residential,,,
642,193,36.951864,residential,,,
643,638,3.670972,residential,,,
638,641,68.012949,residential,,,
641,644,43.802335,residential,,,
644,645,17.537864,residential,,,
646,647,30.048076,residential,,,
647,648,14.753923,residential,,,
648,649,16.529945,residential,,,
649,650,30.817224,residential,,,
650,197,24.435801,residential,,,
651,652,70.497074,residential,,,
653,652,7.471065,residential,,,
652,654,18.696489,residential,,,
654,650,55.412933,residential,,,
650,655,29.907603,residential,,,
656,646,68.483184,residential,,,
646,657,70.901243,residential,,,
657,651,7.313056,residential,,,
651,658,7.962792,residential,,,
658,640,64.405801,residential,,,
640,637,70.012861,residential,,,
637,659,6.880797,residential,,,
659,660,67.428839,residential,,,
660,639,0.521907,residential,,,
639,661,9.215258,residential,,,
658,645,33.532008,residential,,,
645,653,35.235511,residential,,,
653,662,14.232576,residential,,,
662,663,6.463013,residential,,,
663,642,37.812967,residential,,,
642,664,29.351018,residential,,,
664,665,32.422423,residential,,,
665,639,3.415849,residential,,,
662,194,32.279775,residential,,,
666,667,53.760790,residential,yes,,
667,668,1.297173,residential,yes,,
668,669,2.684325,residential,yes,,
669,670,29.827793,residential,yes,,
670,671,16.939089,residential,yes,,
671,672,2.416454,residential,yes,,
672,673,29.082527,residential,yes,,
673,674,25.391504,residential,yes,,
674,675,17.308729,residential,yes,,
675,676,7.170781,residential,yes,,
677,678,45.618410,residential,,,
678,679,25.955161,residential,,,
674,680,38.780577,residential,,,
680,681,30.020653,residential,,,
681,682,49.027989,residential,,,
682,143,15.806732,residential,,,
683,684,71.741577,residential,,,
684,685,46.097097,residential,,,
685,686,25.886749,residential,,,
686,687,46.761430,residential,,,
687,688,70.816957,residential,,,
689,690,22.587074,residential,,,
690,691,30.200962,residential,,,
691,692,61.723691,residential,,,
692,693,21.118050,residential,,,
693,694,25.911175,residential,,,
694,695,13.705672,residential,,,
695,696,46.739647,residential,,,
697,692,50.724347,residential,,,
698,699,43.950482,residential,,,
699,700,36.834099,residential,,,
700,697,16.196303,residential,,,
697,701,35.382025,residential,,,
701,689,32.434896,residential,,,
689,678,30.673497,residential,,,
702,703,80.775681,unclassified,,,
703,704,5.714880,unclassified,,,
704,705,59.394976,unclassified,,,
705,706,28.133692,unclassified,,,
706,707,14.949832,unclassified,,,
708,709,38.545716,residential,,,
709,710,55.595092,residential,,,
710,711,53.193787,residential,,,
711,712,54.314556,residential,,,
712,713,30.405303,residential,,,
713,679,62.188803,residential,,,
714,715,40.150789,unclassified,,,
715,716,47.866741,unclassified,,,
716,717,17.578919,unclassified,,,
717,718,24.417231,unclassified,,,
718,719,15.230642,unclassified,,,
719,720,16.130170,unclassified,,,
720,222,46.428408,unclassified,,,
711,677,71.640645,residential,,,
699,695,51.096711,residential,,,
721,722,10.954219,residential,,,
722,723,17.272445,residential,,,
723,724,32.725273,residential,,,
724,725,19.205836,residential,,,
725,726,43.235766,residential,,,
726,727,36.481213,residential,,,
727,728,5.196407,residential,,,
728,729,25.949355,residential,,,
724,730,5.336688,residential,,,
730,731,54.187002,residential,,,
731,732,9.560741,residential,,,
732,733,35.477552,residential,,,
733,734,35.697697,residential,,,
734,735,9.747128,residential,,,
735,736,18.141368,residential,,,
736,737,59.603591,residential,,,
737,738,4.499593,residential,,,
739,740,26.388478,residential,,,
306,741,19.253519,residential,,,
741,742,38.229783,residential,,,
743,744,29.751997,residential,,,
745,746,36.900442,residential,,,
747,748,32.206103,residential,,,
748,749,12.961996,residential,,,
749,750,19.528356,residential,,,
297,751,21.893223,residential,,,
751,752,26.425883,residential,,,
753,754,40.615008,residential,,,
755,756,26.465909,residential,,,
756,757,39.284217,residential,,,
757,758,22.858178,residential,,,
758,759,19.357800,residential,,,
759,760,48.735915,residential,,,
301,761,51.308731,residential,,,
762,763,86.607970,residential,,,
756,764,6.772579,residential,,,
764,721,19.744747,residential,,,
721,739,20.776777,residential,,,
739,745,12.281822,residential,,,
745,765,55.242909,residential,,,
310,766,26.480914,residential,,,
766,767,32.816494,residential,,,
768,769,9.991634,residential,,,
769,770,11.480061,residential,,,
770,771,12.363885,residential,,,
771,772,6.402762,residential,,,
773,774,31.302243,residential,,,
774,775,20.921645,residential,,,
775,776,21.422125,residential,,,
776,777,9.021397,residential,,,
777,755,38.949885,residential,,,
755,778,18.695770,residential,,,
778,779,9.976603,residential,,,
779,780,82.453658,residential,,,
780,781,39.469381,residential,,,
162,782,14.028028,residential,,,
782,762,26.547166,residential,,,
762,783,17.123800,residential,,,
783,784,5.853205,residential,,,
784,785,14.718380,residential,,,
786,787,34.208994,residential,,,
787,788,9.101749,residential,,,
771,789,63.933274,residential,,,
734,790,43.307032,residential,,,
733,162,25.056130,residential,,,
162,791,79.392498,residential,,,
792,793,46.486076,residential,,,
793,794,18.811410,residential,,,
794,789,3.919465,residential,,,
789,795,8.236420,residential,,,
795,796,23.446056,residential,,,
796,743,18.583206,residential,,,
743,753,6.218710,residential,,,
753,779,25.069916,residential,,,
779,797,26.496153,residential,,,
797,798,4.837577,residential,,,
798,705,102.777740,residential,,,
799,800,67.846701,footway,,,
195,801,23.436840,unclassified,,,
801,802,16.854372,unclassified,,,
802,803,57.095344,unclassified,,,
803,804,22.273939,unclassified,,,
804,805,10.164002,unclassified,,,
805,806,4.685691,unclassified,,,
806,807,3.557386,unclassified,,,
807,808,47.993539,unclassified,,,
808,809,35.255324,unclassified,,,
809,810,61.148199,unclassified,,,
810,811,5.922007,unclassified,,,
811,812,10.809372,unclassified,,,
812,813,55.539806,unclassified,,,
813,814,21.076044,unclassified,,,
814,815,4.410567,unclassified,,,
815,816,3.099794,unclassified,,,
816,817,8.484744,unclassified,,,
817,198,25.909316,unclassified,,,
818,819,14.311308,unclassified,,,
820,821,21.886483,footway,,,
821,822,41.056177,footway,,,
822,823,1.893347,footway,,,
182,824,8.325425,residential,,,
824,332,38.594529,residential,,,
332,825,21.118935,residential,,,
825,826,29.085431,residential,,,
826,395,5.953153,residential,,,
395,362,4.246700,residential,,,
362,827,10.144603,residential,,,
827,419,50.517288,residential,,,
828,829,43.834563,residential,,,
829,830,6.447409,residential,,,
830,831,15.689600,residential,,,
831,832,26.958545,residential,,,
830,833,31.308981,service,,,
